timestamp,open,high,low,close,volume
2020-11-27 17:00:00,584.2,584.77,584.15,584.77,1544
2020-11-27 16:59:00,584.5,584.5,584.5,584.5,1756
2020-11-27 16:56:00,584.6,584.6,584.6,584.6,433
2020-11-27 16:54:00,584.51,584.77,584.5,584.77,2523
2020-11-27 16:53:00,584.6,584.77,584.6,584.77,974
2020-11-27 16:52:00,584.77,584.77,584.77,584.77,1952
2020-11-27 16:51:00,584.5,584.5,584.5,584.5,314
2020-11-27 16:50:00,584.5,584.9,584.5,584.77,1858
2020-11-27 16:49:00,584.28,584.28,584.28,584.28,501
2020-11-27 16:47:00,584.12,584.12,584.12,584.12,243
2020-11-27 16:45:00,583.9301,583.9301,583.9301,583.9301,1464
2020-11-27 16:42:00,585.26,585.26,583.0,583.55,8219
2020-11-27 16:39:00,585.01,585.12,584.8,585.12,1334
2020-11-27 16:37:00,585.05,585.05,585.0,585.0,4625
2020-11-27 16:36:00,585.1,585.1,585.0,585.0,2044
2020-11-27 16:35:00,585.2,585.2,585.2,585.2,395
2020-11-27 16:34:00,585.36,585.36,585.2,585.2,2693
2020-11-27 16:32:00,585.39,585.39,585.39,585.39,168
2020-11-27 16:31:00,585.3,585.3,585.3,585.3,230
2020-11-27 16:29:00,585.36,585.44,585.33,585.4,2169
2020-11-27 16:28:00,585.44,585.44,585.44,585.44,287
2020-11-27 16:26:00,585.18,585.18,585.18,585.18,516
2020-11-27 16:25:00,585.29,585.29,585.29,585.29,206
2020-11-27 16:23:00,585.03,585.15,585.03,585.15,1393
2020-11-27 16:22:00,585.0499,585.0499,585.0499,585.0499,439
2020-11-27 16:21:00,585.01,585.01,585.01,585.01,485
2020-11-27 16:20:00,585.01,585.01,585.01,585.01,375
2020-11-27 16:19:00,585.01,585.0101,585.01,585.0101,512
2020-11-27 16:18:00,585.1,585.1,585.1,585.1,650
2020-11-27 16:17:00,585.02,585.02,585.02,585.02,445
2020-11-27 16:16:00,585.05,585.05,585.05,585.05,419
2020-11-27 16:14:00,585.34,585.35,585.34,585.35,417
2020-11-27 16:13:00,585.25,585.25,585.25,585.25,244
2020-11-27 16:10:00,585.25,585.25,585.25,585.25,475
2020-11-27 16:09:00,585.3,585.3,585.3,585.3,529
2020-11-27 16:08:00,585.3,585.3,585.3,585.3,147
2020-11-27 16:07:00,585.3,585.3,585.3,585.3,566
2020-11-27 16:06:00,585.02,585.02,585.02,585.02,553
2020-11-27 16:05:00,585.2,585.2,585.2,585.2,426
2020-11-27 16:04:00,585.2,585.2,585.2,585.2,260
2020-11-27 13:01:00,585.76,585.76,585.76,585.76,259034
2020-11-27 13:00:00,585.15,585.78,585.0,585.75,257907
2020-11-27 12:59:00,585.82,585.8267,585.12,585.12,152558
2020-11-27 12:58:00,585.915,586.03,585.7,585.76,128283
2020-11-27 12:57:00,585.93,586.0756,585.65,585.9277,122764
2020-11-27 12:56:00,585.12,586.0,585.04,585.93,180070
2020-11-27 12:55:00,585.26,585.51,585.0,585.2,77009
2020-11-27 12:54:00,585.42,585.5,585.05,585.285,92475
2020-11-27 12:53:00,585.4768,585.49,585.076,585.366,61468
2020-11-27 12:52:00,585.35,585.52,585.0603,585.425,104789
2020-11-27 12:51:00,585.1,585.48,584.69,585.48,92379
2020-11-27 12:50:00,584.7,585.14,584.6647,585.01,78386
2020-11-27 12:49:00,585.68,585.68,584.3,584.71,85548
2020-11-27 12:48:00,585.3413,585.7,584.9717,585.6008,94591
2020-11-27 12:47:00,584.1,585.3871,583.96,585.17,127089
2020-11-27 12:46:00,584.38,584.44,583.0,583.92,150134
2020-11-27 12:45:00,585.5857,585.7783,584.17,584.38,92332
2020-11-27 12:44:00,586.585,586.6594,585.55,585.55,76723
