x1,x2,x3,x4,x5,x6
2020-11-27 11:51:00,216.7392,217.1399,216.7392,217.1399,60464
2020-11-27 11:50:00,216.71,216.8,216.62,216.758,22588
2020-11-27 11:49:00,216.67,216.71,216.6,216.71,17288
2020-11-27 11:48:00,216.6333,216.74,216.6333,216.6348,17121
2020-11-27 11:47:00,216.77,216.77,216.57,216.655,30387
2020-11-27 11:46:00,216.68,216.82,216.65,216.77,23400
2020-11-27 11:45:00,216.735,216.85,216.6538,216.7399,20753
2020-11-27 11:44:00,216.6742,216.805,216.65,216.7477,25532
2020-11-27 11:43:00,216.795,216.865,216.67,216.67,17278
2020-11-27 11:42:00,216.6799,216.84,216.655,216.7889,21043
2020-11-27 11:41:00,216.83,216.88,216.5992,216.6795,34852
2020-11-27 11:40:00,216.6264,216.85,216.6057,216.8264,24890
2020-11-27 11:39:00,216.71,216.79,216.6,216.6,21321
2020-11-27 11:38:00,216.57,216.78,216.46,216.65,40642
2020-11-27 11:37:00,216.72,216.7699,216.47,216.545,58148
2020-11-27 11:36:00,216.7,216.89,216.6001,216.72,30941
